,Transcription,Emotion
1950,She'll be like--flowers and the--,hap
1951,"It'll be good.  Wow, that's great.",hap
1952,"Oh, thank you. [LAUGHTER]",hap
1953,"So, uh, so how's it been going?  I mean, you have any needs or anything?",neu
1954,I'm--every lead that I get ends up just being a dead end.  You know what I mean.  People are sick of me calling--,fru
1955,"No.  You can't think that way.  I mean it's good--it's good that you're--that you're calling, you know. you can't",neu
1956,"Yeah, but it--I mean it's the same response you get over and over again.  Like--",fru
1957,"Oh, we're not hiring at this time or thank you, we already have your information on file--We'll call you when we're ready.",fru
1958,"Yeah--I know what you mean.  I've gone through like similar stuff, but--",xxx
1959,"But, it's been so long, like--I mine as well just take a job at McDonald's.  Like, I don't--",fru
1960,"No, come on.  Don't [GARBAGE]",neu
1961,"I just--I can't do it anymore.  Like, it just takes it out of you--",fru
1962,"I know.  I know. It's hard, but you just--you gotta keep going.  I mean, you've been going at it for so long, you know.  Something is definitely going to come up.  I-I know it will, because you're a good worker--",neu
1963,I just keep getting rejected.  I just keep getting rejected over and over and over again and it starts to make you feel like there must be something wrong with you that you can't get a job.,fru
1964,"No.  It's--I mean, it's competitive, you know.  That's-That's what it is.  that's what you gotta be is competitive.",neu
1965,"Yeah, but maybe--if just because it's competitive, like maybe I'm just not good enough.  Maybe the level is here and I'm here and there's just no way I'm ever gonna do that--",fru
1966,"There...There are plenty of people out there with--with like, good jobs, you know, that are a lot...",neu
1967,...dumber than you.  I mean they're a lot worse off than you.  You are much better off than like a lot of those people in there. I know,neu
1968,"I didn't have like one of those starts, you know, like a family member who was already in the business or something you know that could like give me a helping hand.",fru
1969,"I know.  It makes it harder.  I mean it's definitely who you know in a lot of cases, but--",neu
1970,"It's just so frustrating.  Like, I just--I just don't wanna do it anymore.  You know?  I just don't wanna like hit the pavement every single day with my resumes and going out there all the time.  You know, it's just like--",fru
1971,"But you gotta.  Otherwise, what is--what's your other option?",neu
1972,I feel so worthless.,sad
1973,"It's not worthless 'cause it's definitely gonna--it's definitely gonna pay off.  I know it.  I mean, I can--I've just--I've seen your work etiquette.  You know, you're a good worker and...",neu
1974,... and there's no reason that--that something won't come up like really soon.  All right?  So you just gotta--,neu
1975,And what would make you say that?  There doesn't seem to be any indicators that anything's going to get better.,fru
1976,"Because I know you.  You know, and maybe once you get to know some more people, like talking to them and everything, they'll get to know you too and they'll realize they should've hired you three years ago.  You know? but  And- and they'll finally come around and believe me--it'll--you gotta-",neu
1977,"It's just really hard.  I feel like their starting to get like a personal prejudice against me.  You know what I mean?  Like it's like suddenly it starts to feel like it's just you that they say no to and it's not that they're not taking applications and it's not that they're not hiring people, it's just you particularly they have some particular reason for just hating you.  You know?",fru
1978,"Well maybe yeah, but maybe you get to that point where it's like you bug 'em and then they just don't wanna hear from you anymore, but you keep bugging them and bugging them and then it's gonna annoy them so much that they're gonna be like all right fine. you know",neu
1979,Or they'll never talk to me again.,fru
1980,"Or, well, no.  Okay. you -[GARBAGE]",fru
1981,"I-I just I think maybe I should try something else.  I mean, I-I don't know.  All growing up this is the only thing that I ever wanted to do and yet I can't.  I'm not physically able apparently.  I mean--",fru
1982,"That obviously that's not true though.  I mean, you've done this before.  You've done all the work like this before, you know, and and you've gotten people saying oh, you're so good and like you know--",neu
1983,"I guess the money shouldn't matter to me, but--Somehow it does.  You know? It's not like I do it for the money, but",fru
1984,Right.,neu
1985,"Well, you've gotta live.",neu
1986,"you have to--I mean, if you're hired by somebody, then you're not a professional, you're an amateur and that means that you're not good enough.",fru
1987,"I mean, it's just, it's really--I don't know, yeah, it's about their opinions and it's about, I don't know, just getting yourself out there and--",neu
1988,"I just wanna crawl in a hole, you know.  Like it just makes you not wanna even open your eyes in the morning.",sad
1989,"Well, come on, come on.  Thinking about it like this is definitely not gonna help either though.",neu
1990,I don't know how to get out of it.  I don't know how to dig myself out of it.  It's the same hole that I've been digging and digging and digging.  I can't--,xxx
1991,I don't know.,xxx
1992,"Hi, um, excuse me, I believe that the airline lost my baggage.",neu
1993,"Um, okay, it didn't--didn't come out on the carrousel--",neu
1994,"No, it didn't. um It didn't come out and I don't see it anywhere around here, so what can you do about that?",neu
1995,"Okay.  Um, well, unfortunately yeah there was a some- some problems with the--",neu
1996,Some problems?  What is that supposed to mean?,sur
1997,"Uh, well some-some of the bags were--were lost on the way over here. uh-",neu
1998,How do you lose a suitcase?  A huge suitcase?,sur
1999,"You know, I mean, there's a lot of things that go on under the plane and sometimes, you know, that kind of things happen.",neu
2000,"Uh, But, we are willing to reimburse you for the bag and and for the contents--",neu
2001,How much?,neu
2002,"Um, we'd be willing to give you uh fifty dollars for--",neu
2003,"Fifty dollars?  For my suitcase?  I mean, the suitcase itself was like a hundred and fifty dollar just for the suitcase, but all the things inside, all my clothes, all my personal belongings, the sentimental value, not to mention, which is more-more than all of that together.",sur
2004,"Right.  Uh We realize, you know, that that it's a bad situation, but I'm sorry, there's nothing that we can really do.",neu
2005,"That's all, that's all, that's all you're going to do is just give me fifty dollars and say go have fun on your vacation without any of your stuff?",ang
2006,"I think, um, maybe you can file a claim if you want and turn it in to our main office--",neu
2007,"Yes, yes, I would like to file a claim, but what are you gonna--I mean, is it just gonna show up magically out of nowhere?",fru
2008,"Right.  No.  I mean they- they might--they might--if you-if you are argue the case more, maybe they'll reimburse you more, but, right now--",neu
2009,"I need my stuff.  It's--I need my stuff.  I mean, uh...",xxx
2010,Haven't you ever lost baggage?  I mean isn't there anything else you do?,xxx
2011,"Yes, I know. I know-. It's It's frustrating.  Unfortunately though-- um",neu
2012,"Because you don't seem to care very much, you know.",ang
2013,"By checking your bags, you--you, you know- admit to the liability that's- that's at risk--",neu
2014,I didn't sign anything.,fru
2015,"Right, well, by checking in your bags, you agreed to, you know, at the will of the--",neu
2016,"I didn't agree.  [GARBAGE] I paid the airline to take care of things for me.  When you pay for something, there should be some sort of guarantee that it's gonna come through.",xxx
2017,"You paid for the flight and then your bags were checked at--it's a service that the airline provides for us.  So so, really, it's really the risk was taken and, I'm sorry, but there's really nothing else we can do.  So do you want--do you want the reimbursement?",neu
2018,"[BREATHING] Well, sure, yeah, I guess I'll go buy dinner and then be--have nothing for the rest of my entire vacation.  I'm supposed to be here for three weeks.  What am I gonna do without anything for three weeks?",fru
2019,"Well, there are-there are some shops here in- in the airport--",neu
2020,But fifty dollars isn't going to get me anything.,fru
2021,"No, um, like I said you can file a claim and, uh, maybe get reimbursed for more-- you",neu
2022,Isn't there anything else you can do?,fru
2023,probably even talk to--,neu
2024,"I mean, is there somebody you can call?  Or the guy that put the stuff on the--on the plane.  I mean, are they--they must be really irresponsible to have just disappeared my baggage.  I mean, did it get stolen?",fru
2025,"Right, that--that gets taken care of-- That gets taken care of.  We get we do, you know, we investigate those and just make sure that um- they're not doing their own thing with them so--uh",neu
2026,"Yeah, I'm sure you -- You're like, hmm, do you take baggage?  No.  Oh, okay, thanks.  Great.  I mean how--",fru
2027,but Unfortunately sometimes is--,neu
2028,"Well, that's--that's what I'm saying--",neu
2029,There needs to be better security here.,fru
2030,"Okay.  Well that that could be something that you put on on the claim--on on the complaint form if you want.  And provide us with your information while you're here and then, maybe, if it turns up, then we'll send it right over.",neu
2031,It sounds like it's such a little like oh well no big deal whatever.  It's a big deal to me.,ang
2032,"All right, Miss, I-I know.  I realize this. But Like I said, there are several people that are in your same situation, so, um, it's not--it's not totally uncommon and I'm actually gonna have to ask you to move so I can help the next person.",neu
2033,"Well, can I at least have my fifty dollars, please?",fru
2034,"Yes, all right.  There you go, now you can file a claim over to the left--And they'll help you out.",neu
2035,Thank you.,xxx
2036,Thank you very much.,fru
2037,"Hey, a what's up?",neu
2038,"Um, Johnny died yesterday.",sad
2039,"Wow, that's horrible.",neu
2040,I'm sorry to hear about that.,neu
2041,"We knew that it was coming, but--",sad
2042,Yeah.,neu
2043,"It seemed like he had a little bit longer.  Like just last week, he was doing was so well.",sad
2044,"I mean, you know, at least he's not in anymore pain now, right?",neu
2045,Yeah.,sad
2046,"It's good, you know.  you know It hurts I know.  I know what it's like to lose someone like that.",neu
2047,I just don't want him to be gone.,sad
2048,It's okay.,neu
2049,"'Cause, you know, you've got all the times that you guys did spend together, you know and that's something good that you can look back on.",neu
2050,I mean--I don't know.,neu
2051,And his whole family was there.,sad
2052,"I mean, he was like really conscious right up until the end. you know",sad
2053,"Well, that's that's good, you know.  At least, I don't know.  I mean it's- it's better to go- to goout that way than...",neu
2054,".than you know, in pain and like this gradual, this horrible process.  I mean--",neu
2055,"He was so young, you know.  And all the stories he used to tell me about...",sad
2056,...the way he wanted to live and he was gonna go to Africa and he was gonna--,sad
2057,"But look at the--he--look at the life he did get to lead.  I mean, for his age, he'd done so much and--",neu
2058,Nobody's ever gonna forget him.,sad
2059,"Yeah, exactly.  He's made a big impact on a lot of people. and",neu
2060,"And you'll always have that and--you should feel, you know, happy for him that he got to do so much before--I mean, and even after he found out last year.  I mean--",neu
2061,He did a lot.  But--,sad
2062,"I know.  It doesn't bring him back, but--",neu
2063,"But It's okay because now, you know, you'll just go on with your life and--",neu
2064,I'm gonna forget him.,sad
2065,"No, you'll never forget him.",neu
2066,I won't be able to hear his voice or his--,sad
2067,I know. but you're not  I mean you're not going to forget him.  The pain will go away eventually and--or it will subside--,neu
2068,You start to lose like that image after a while.,sad
2069,"That will be, It'll be--it'll be better that way. I mean Time will tell.  Time heals, you know, and it's good.  It's okay.  I mean, it wasn't anybody's fault or anything like that so .",neu
2070,"It's hard to lose someone that way, but he's he's better--he's better off now.",neu
2071,Thanks.,sad
2072,"So, how's it going?",neu
2073,"It's going really well.  Um, I received something in the mail today.",xxx
2074,"Oh, you got what?  Where?",exc
2075,I got into U.S.C.,exc
2076,"Oh, no way.",exc
2077,"Yeah, I'm so excited.  So I'm gonna say--",exc
2078,Are you gonna go? you gonna-,exc
2079,"Yeah, I think, I mean because where else would I gonna go?  Like the other places that I applied to I really didn't like that much anyway.",exc
2080,So--,exc
2081,"Wow, that's...",exc
2082,"...that's first choice, huh? That's so awesome and now look you're gonna be--you're gonna be here. you know",exc
2083,"Yeah, I know.",exc
2084,Absolutely. I'm so excited.,exc
2085,"I know.  I know. And we'll all get to hang out.  And I'm--even though we'll be at like at different parts of the city, we can still, like...",exc
2086,"...hang out and, like, have our different lives--And meet each other's friends and stuff.  So, I'm just so glad 'cause they have such a good school",exc
2087,"Yeah, no, definitely--It's gonna..",exc
2088,Yeah.,exc
2089,"and like-- The football team--And like all the-...you- what I mean, like...",exc
2090,Yeah,exc
2091,Fight on.,exc
2092,"You can walk somewhere and be anywhere in the country and be like, oh, yeah, I am at U.S.C.",exc
2093,"And you know what, you know what I mean, like it's recognizable rather than just being like I went some random school. It's like people really know what you...",exc
2094,[LAUGHTER],exc
2095,Wow. That's cool.,exc
2096,"...like, they feel like--I feel like it's going to be so like accomplished.  Do you know what I mean?",exc
2097,Like it has some prestige. so,exc
2098,Yeah. Hey. Prestigious school.,xxx
2099,"So, what, do you have to send in your deposit now?  Or what you-?",xxx
2100,"Yeah, I mean there's all the money stuff and my mom's helping me with the financial aid and stuff.  But, it'll be fine--",exc
2101,"Like, now that I'm accepted, it's just, like, such a huge load off my mind.",exc
2102,That's great.,xxx
2103,I don't mind worrying about all the paperwork.  You know--,exc
2104,Yeah.,xxx
2105,So...,neu
2106,"Because, I don't have to like make that decision anymore.  I don't have to try and decide, like, what the bad school I'm going to go to is. you know",exc
2107,"Right.  Right.  Right. Oh, man, then you're going to have to do orientation, I guess.",exc
2108,"I know. I know.  I think you go and you like stay for a couple of days and you meet people and--And they'll give you like a tour--And show you everything.  Oh, man, I'm just so--I'm so excited.",exc
2109,That'll be awesome.,hap
2110,"I mean because you went to the campus before, right?",hap
2111,"Yeah, oh totally.  It's a beautiful campus.  It's gonna be really nice.  Um, and everyone is friendly and like there's ivy on all the walls.  Oh, it's just so--it's so like collegiate.",exc
2112,"You know what I mean?  Like, it's like exactly what I want.",exc
2113,So what're you--what're you gonna do there?  Have you decided?  Thought about it?,xxx
2114,"Well, you know, I've thought about it but they have so many things that I might--Like try some things out first...",exc
2115,"I know.  I mean, it's good all around.",xxx
2116,"...because also on the list of their, um, like G.E.'s or whatever, you have a lot of choices within every single one.  So you can, like, try things out and not just be like, oh, I have to take math, oh, I have to take this.  You know what I mean?",exc
2117,"So, um, so I don't know.",exc
2118,[LAUGHTER],xxx
2119,I mean I'm gonna take a bunch of stuff and see.,exc
2120,Oh man.,exc
2121,"I- They have like--they just have so many like prestigious like this school is top ten and like the departments within it, you know what I mean.",exc
2122,I always see people walking around with like U.S.C stuff on--,xxx
2123,"I know, I get to be one of those now--I'll like walk around and be like a U.S.C..  You know what I mean.",exc
2124,You know is like.,xxx
2125,I know.,xxx
2126,Ahh. Yeah. [GARBAGE],exc
2127,"You'll be like are you a fan or a student you know? Student. [LAUGHTER] Oh man, that's awesome.",exc
2128,And you'll be like...,exc
2129,"Student. I'm a student. Yes I am, Thank you very much.",exc
2130,[BREATHING],exc
2131,A U.S.C. graduate now. You're set.,exc
2132,I know.  I'm excited.,exc
2133,"Well, that'll take a while. [GARBAGE]",exc
2134,"I know, that's a ways down the road. That's cool.",xxx
2135,That's going to be a lot of work.,exc
2136,"But, it'll be fine, I mean.  I'm so excited. It's going to be so fun.",exc
2137,In LA. Oh man.,xxx
2138,"I know, and I mean the area's not great, but like the school makes up for it. It'll be fine. It'll be good.",exc
2139,So much.,xxx
2140,"But it's LA, you know, everything.",xxx
2141,You're getting close to the beach.  I mean geez.,exc
2142,I know. I know. So fun.  I can't wait.,exc
2143,"Cool.  Well give me a call, you know when--You get in town. definitely Awesome.",xxx
2144,I will. I will. Thank you.,exc
2145,Thanks.,exc
2146,"Hi, my name is Shiloh, welcome to--Airline Six.  Hi, how may I help you?",neu
2147,"Yeah, hello.",fru
2148,Ok.  I've- I've just been talking to this machine for the past half hour and I can't-can't get anything done.  I've been trying to book this vacation this entire time.,fru
2149,"All right, sir.",neu
2150,"I know, I'm sorry.  It's-It's just that it's been a little frustrating because--",fru
2151,I completely understand.  Automated systems are very difficult sometimes.,neu
2152,Okay.,neu
2153,"Um, how may I help you.  You're trying to book a specific flight?",neu
2154,"Well, yeah, I mean I heard there was like these package deals and that maybe I could get a like a hotel or something like that. and-",fru
2155,"Oh, yeah, absolutely.  You know, and especially because you've been waiting so long and I know that, um, you've been having a difficult time.",neu
2156,"I want to definitely give you our special package today, which um is usually only for valued customers who have a record of having previous,",neu
2157,"um lots of purchases, but we're gonna go ahead and give that to you anyway. uh,  Just to make sure that you're happy with your service here.",neu
2158,You- You can do that--You can do that now? I don't have to get like transferred through or anything like that.,neu
2159,Is that all right?,neu
2160,"I can do that right now for you. No, absolutely.  I can take care of you all the way through to the end.",neu
2161,All I'm going to need is your credit card number but just give me one moment. So-,neu
2162,[BREATHING] that's good.,neu
2163,"um, you're scheduling a flight as well--And you would like to, um, we have a highly discounted hotel rate that goes along with that so that everything is all in one deal.  You're taken care of by the time that you get there.",neu
2164,"All right.  I want to make sure it's like a nice hotel--I mean-mean I'm gonna be paying a lot of money for this so I don't wanna-I don't wanna, you know, I don't wanna to be a waste of time.",neu
2165,Absolutely. we we,neu
2166,"Yes, I completely understand.  Actually, our-our airline only uses five star hotel and above.  Except we charge at a three star hotel rate because, as a corporation, we are able to get a deal from the hotels themselves.",neu
2167,"So, you will absolutely be in a high rated great hotel and we can make sure that it's in a area of town that you like as well.",neu
2168,Okay. So--,neu
2169,Yeah.,neu
2170,"Well, you know, we wanted to--we wanted to go to Maui and--That was a",neu
2171,Okay.,neu
2172,"--you know, the kids wanna go to the beach and stuff and so--um",neu
2173,Great.  How many seats?,neu
2174,"Well, it's gonna be four of them.",neu
2175,Okay.  Great.  Four seats.  I'll book you for four seats.,neu
2176,All right.  And can they like all get together?,neu
2177,"Oh, yeah, absolutely.  Um- Would you like window seats or aisles?",neu
2178,"Um- You know, window is nice. I guess",neu
2179,"Okay, I can do um- a win- -two like a window and a aisle and a window and an aisle next to each other so that each of you can sit two by two. And switch around maybe?",neu
2180,"All right, Sure.  A yeah, that- that'd be good.",xxx
2181,Okay.  Great.  What time of the day would you like?,neu
2182,"Uh, well, yeah, I think we were just--you know, whenever best available, I guess.  You know--",neu
2183,All right.  Great.  Well we have a very open flight that leaves at nine a.m. and fortunately uh the time change actually goes um backwards from that.,neu
2184,"So, it's a five hour flight, but you'll arrive only at eleven a clock in the morning.  So that day, you can have plenty of time to get to your hotel--Rest up and then still have a nice afternoon your first afternoon in Maui.",neu
2185,"And, like, there's there's shuttles or something that I can get to the hotel.",neu
2186,Absolutely.  That actually goes in on the same package with our hotel.  You just give me your address.  We'll come and pick up a time that allows you to get to your flight with plenty of time to spare.,neu
2187,And a there will also be a shuttle waiting for you to take you to the appropriate hotel.,neu
2188,"Okay.  Wow.  Sounds good then, I guess.  Thank you very much. It's a lot better than talking to a machine.",xxx
2189,Yeah--I completely understand.  It's a difficult process sometimes and we want to make traveling as easy as possible.,neu
2190,All right.  So we're confirmed then or do you--All right.,neu
2191,Absolutely. Thank you so much for calling and we hope that you will come to us again.,neu
2192,Okay.,neu
2193,Thank you.,neu
2194,What's he gonna say?  Maybe we ought to tell him before he sees it.,xxx
2195,He saw it.,xxx
2196,"How could he see it?  I was the first one up, he was still in bed.",xxx
2197,He was out here when it broke.,xxx
2198,When?,xxx
2199,About four this morning.  I heard it cracking and I woke up and looked out. He was standing right here when it cracked.,xxx
2200,What was he doing out here at four in the morning?,xxx
2201,"I don't know.  When it cracked, he ran back in the house and cried in the kitchen.",xxx
2202,Did you talk to him?,sad
2203,No.  I thought it was best to leave him alone.,xxx
2204,He cried hard?,sad
2205,I could hear him right through the floor of my room.,xxx
2206,What was he doing out here at that hour?,sad
2207,He's dreaming about him again.  He's walking around at night.,xxx
2208,I guess he is.,xxx
2209,He's getting just like after he died.  What is the meaning of that?,xxx
2210,"I don't know the meaning of it.  But, I know one thing Mom, we made a terrible mistake with Dad.",xxx
2211,What?,xxx
2212,"Being dishonest with him.  I mean, that sort of thing always pays off and now it's paying off.",xxx
2213,What you mean dishonest?,xxx
2214,You know that Larry's not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,xxx
2215,What do you want to do argue with him?,fru
2216,"No, I don't want to argue with him, but it's about time he realized that nobody believes Larry's alive anymore?",xxx
2217,Why shouldn't he dream of him and walk the nights waiting for him?  Do we contradict him?  Do we say straight out that we don't have any hope anymore?  That we haven't had hope for years now?,ang
2218,You can't say that to him.,fru
2219,We've got to say it to him.,fru
2220,Can you prove it?  How can you prove it?,fru
2221,"For God sakes, it's been three years.  Nobody comes back after three years.  It's insane.",ang
2222,"To you it is and to me, but not to him.  I mean, you can talk yourself blue in the face, but he--there's no body and no grave so where are you?",fru
2223,"Sit down, Mom.  I want to talk to you.",xxx
2224,"Trouble is the God damn newspapers.  Every month or so a boy turns up out of nowhere so, you know, the next one is gonna be Larry.",xxx
2225,All right.  All right.  Listen to me.  You know why I brought Annie here don't you?,fru
2226,Why?,xxx
2227,You know.,xxx
2228,"I've got an idea, but what's the story?",sad
2229,I'm gonna ask her to marry me.,neu
2230,"Well, that's only your business, Chris.",neu
2231,You know it's not only my business.,fru
2232,What do you want me to do?  You're old enough to know your own mind.,ang
2233,So it's all right then?,fru
2234,I'll go ahead with it?,fru
2235,"Well, you want to make sure that your father isn't going to--",xxx
2236,"Well, then it isn't just my business--",ang
2237,I'm just saying that--,neu
2238,"Ah, sometimes you infuriate me.  You know that?  I mean, isn't it your business too if I tell Dad and flips--freaks out about it?  I mean, you have such a talent for ignoring things.",xxx
2239,I ignore what I gotta ignore.  The girl is Larry's girl.,xxx
2240,She's not Larry's girl.,ang
2241,"From your father's point of view, he isn't dead.  And you've no right to take his girl.",fru
2242,"And you can go on from there if you know where to go, but I don't know where to go.  See, I don't know.  Now what can I do for you?",fru
2243,"I don't know why, but, every time I reach out for something that I want, I have to pull back 'cause someone else will suffer.  My whole bloody life.  Time after time after time.",fru
2244,You're a considerate fellow.  There's nothing wrong with that.,neu
2245,To hell with that.,ang
2246,[BREATHING] Have you asked Annie yet?,neu
2247,I wanted to get this settled first.,xxx
2248,"Well, how do you know she'll marry you?  Maybe she feels the same way your father does.",neu
2249,"Well, if she does, then that's the end of it.  But from her letters, I think she's forgotten him.  I'll find out.  And then we'll thrash it out with Dad, right?  Mom, don't avoid me.",sad
2250,"Trouble is, you don't see enough women.",sad
2251,You never did.,fru
2252,"So what, I'm not fast with women.",xxx
2253,I just don't see why it has to be Annie.,fru
2254,Because it is.,neu
2255,"Well, that's a good answer, but it doesn't answer anything.  I mean, you've been away for--at war.  It's been five years.",fru
2256,"I can't help it.  I know her best.  I mean, I grew up next door to her.",xxx
2257,"These years when I think of a wife, I think of Annie.  What do you want, a diagram?",fru
2258,"I don't want a diagram.  Umm-- He thinks he's coming back, Chris.  You marry that girl and you're pronouncing him dead.",fru
2259,"I mean, what's gonna happen to your father?  Do you know?  I don't.",fru
2260,"All right.  All right, then, Mom.",fru
2261,I just--give it some more thought.,fru
2262,I've given it three years of thought.  I thought that if I waited Dad would forget about Larry and we could have a regular wedding and everything happy.,fru
2263,"But if I can't--if that can't happen here, then I'll have to get out.",xxx
2264,What the hell is this?,sur
2265,I'll get out.  I'll get married and go live some place else.  Maybe New York.,xxx
2266,Are you crazy?,ang
2267,I've been a good son too long.  A good sucker.  I'm through with it.,ang
2268,What about the business?  What the hell is this?,ang
2269,The business?  The business doesn't inspire me.,ang
2270,Must you be inspired?,ang
2271,"Yes.  I like it an hour a day.  If I'm gonna grub for my money all day long, at least in the evening I want it beautiful.",ang
2272,"I want a family.  I want kids.  I want something that I can give myself to.  Annie's in the middle of that.  Now, where do I find it?",xxx
2273,"Tell me, you'd leave the business?",xxx
2274,"Yes, on this I would.",neu
2275,"Well, you don't want to think like that.",ang
2276,Then help me stay here.,xxx
2277,"All right, but just don't go thinkin' like that 'cause otherwise what did we work for?  I mean, the whole thing is for you, Chris.  The whole shootin' match is for you.",xxx
2278,"I know.  I know, Mom.  Just help me stay here.",fru
2279,"All right.  Just-- just don't go thinkin' that way, you hear me?",fru
2280,I am thinkin' that way.,neu
2281,"I don't understand you, do I?",fru
2282,"No, you don't.  I'm a pretty tough guy.",neu
2283,I can see that.,sad
2284,Why did he invite her here?,xxx
2285,Why does that bother you?,xxx
2286,She's been in New York for three and half years.  Why all of a sudden?,xxx
2287,"Well, maybe he just wanted to see her again.",neu
2288,Nobody comes seven hundred miles just to see.,xxx
2289,What do you mean?  He lived next door to the girl all his life.  Why wouldn't he want to see her again?,neu
2290,Don't look at me like that.  He didn't tell me anymore than he told you.,xxx
2291,She's not-,xxx
2292,How do you know he's even thinking of it?,neu
2293,-he's not gonna marry her.,oth
2294,It's got that all about it.,ang
2295,"Well, so what?",neu
2296,"What's going on here, Joe?",xxx
2297,"Now, listen Kate.",neu
2298,"She's not his girl, Joe.  She knows she's not.",xxx
2299,You can't read her mind.,neu
2300,"Well then why is she still single?  I mean, New York is full of men.  Why isn't she married?  Probably a hundred people told her she's crazy, but she's waited.",fru
2301,How do you know why she's waited?,neu
2302,"She knows what I know, that's why.  She's faithful as a rock.  In my worst moments I think of her waiting and I know again that I'm right.",fru
2303,"Look, it's a nice day.  What are we arguing for?",fru
2304,"Nobody in this house dares take her faith away, Joe?  Strangers might, but not his father, not his brother.",xxx
2305,"Well, what do you want me to do about it?",fru
2306,I want you to act like he's coming back.  Both of you.  Don't you think I haven't noticed since she got here.  I won't stand for any nonsense.,fru
2307,But Kate--,fru
2308,"Because if he's not coming back, I'll kill myself.  I mean, laugh--laugh at me, but...",ang
2309,But why did that happen the very night she came here?  She sleeps in his room and his memorial breaks to pieces.  Just look.  Look at it.,ang
2310,Calm yourself.,fru
2311,"Believe with me, Joe.  I can't stand all alone.",fru
2312,Calm yourself.,fru
2313,"Last week, a man turned up in Detroit missing longer than Larry.  I mean, you read it yourself.",fru
2314,All right.  All right.  Calm yourself.,fru
2315,"You, above all, have to believe.",fru
2316,What?- Why- Why me above all?,xxx
2317,Just--just don't stop believing.,fru
2318,What does that mean?  Me above all?,ang
2319,Look at you.  Look at you shaking.,ang
2320,I can't help it.,fru
2321,What have I got to hide?  What the hell is the matter with you Kate?,ang
2322,You're the only one I know who loves his parents.,xxx
2323,"I know, it went out of style, didn't it?",xxx
2324,It's all right.  It's a good thing.,xxx
2325,"You know, it's lovely here, the air is sweet.",xxx
2326,You're not sorry you came?,neu
2327,"No, not sorry.  Um, but, I'm- I'm not gonna stay.",xxx
2328,Why?,xxx
2329,"Well, for one thing, your mother as much as told me to go.",xxx
2330,Oh.,xxx
2331,"You saw that.  I mean and then, well, you've been kind of, um--",xxx
2332,What?,xxx
2333,"Well, kind of embarrassed ever since I got here.",xxx
2334,"The trouble is, I planned on sort of sneaking up on you over a period of a week or so.  But, they take it for granted that we're all set.",xxx
2335,"I knew they would, your mother anyway.",xxx
2336,"Well,",xxx
2337,"from her point of view, why else would I come?",sad
2338,"Oh.  Would you want to?  I guess you know, this is why I asked you to come.",xxx
2339,I--I guess this is why I came.,xxx
2340,"Anne, I love you.  I love you a great deal.  I love you.",xxx
2341,I have no imagination.  That's all I know to tell you.,xxx
2342,I'm embarrassing you and I didn't want to tell it to you here.  I wanted some place we'd never been before.  A place where we'd be brand new to each other.,xxx
2343,"You feel it's wrong here, don't you?  This yard, this chair.  I want you to be ready for me.  I don't want to have to win you away from anything.",exc
2344,"Oh, Chris, I've been ready for a long, long time.",xxx
2345,And he's gone forever.  You're sure?,xxx
2346,I almost got married two years ago.,hap
2347,Why didn't you?,xxx
2348,You started to write me and--,hap
2349,You felt something that far back?,xxx
2350,Every day since.,hap
2351,"Anne, why didn't you let me know?",xxx
2352,"Well, I was waiting for you.  I mean, till then you never wrote and when you did, I mean, what did you say?  You can sure be ambiguous sometimes.",xxx
2353,"Give me a kiss, Anne.  Give me a-",xxx
2354,"oh God, I kissed you.  I kissed Annie.  How long--how long I've been waiting to kiss you.",xxx
2355,I will never forgive you.  Why did you wait all these years?  All I did was sit and wonder if I was crazy for thinking of you.,hap
2356,"Oh, Annie, we're gonna live now.  I'm gonna make you so happy.",xxx
2357,Not like that you're not.,xxx
2358,I kissed you.,xxx
2359,"Like Larry's brother.  Do it like you, Chris.  What is it?",xxx
2360,Let's drive someplace.  I want to be alone with you.,xxx
2361,"No.  What is it, your mother?",xxx
2362,No.  Nothing like that.,sad
2363,"Then, what's wrong?  I mean, even in your letters there was some--something ashamed.",sad
2364,"Yeah, I suppose I have been.  But it's going from me.",sad
2365,You've gotta tell me.,sad
2366,I don't know how to start.,sad
2367,It wouldn't work this way.,sad
2368,"It's all mixed up with so many other things.  You remember overseas, I was in command of a company?",sad
2369,"Yeah, sure.",sad
2370,"Well, I lost them.",sad
2371,How many?,sad
2372,Just about all.,sad
2373,"Oh, gee.",sad
2374,It takes some time for a guy to toss that off.  'Cause they weren't just men.,sad
2375,"For instance, one time, it had been raining several days and this kid came to me and gave me his last pair of dry socks.  I put them in pocket.  It's only a little thing, but that's the kind of guys I had.",sad
2376,"They didn't die, they killed themselves for each other.  I mean that exactly.  A little more selfish and they'd have been here today.",sad
2377,"I got this idea watching them go down.  Everything was being destroyed, see, but it seemed that there was one new thing being made.  A sort of responsibility.  Man for man.",sad
2378,"You know what I mean?  To show that, to bring that onto the Earth again, like some kind of monument and everyone would feel it standing behind him and it would make a difference to him.",sad
2379,Then I came back and it was incredible.  There was no meaning in it here.  The whole thing to them seemed like sort of a bus accident.  I went to work with Dad and that rat race again.,sad
2380,"And I felt what you said, ashamed somehow 'cause nobody was changed at all.  It seemed to make suckers out of a lot of guys.  I felt wrong to be alive to open the new bank book, drive the new car, see the new refrigerator.",sad
