avaliacao,twet,class_label
negative, i will never be flying with  ever again. $285 for checked bags? all under 50lbs?  ,-1
positive, thanks jt,1
neutral, trying to locate passenger that landed 2 hrs ago in  ua938. can you assist? is flight still in customs? please help,0
positive, thank you! off to la to do something very special.,1
negative, the flight turned around for mechanical reasons on 1/30/15.  never to fly united again as they don't check their planes properly.,-1
negative, is it customary to upgrade a flight attendant in uniform vs passengers? one is in 1b on flt 1020 now to iah,-1
negative,". you should really have that addressed somewhere on the website, find that completely irritating &amp; am unable to take my flight now.",-1
negative, ua1740. 4.5 hr mechanical delay all i get is $50 voucher? will tweet when i book next trip not on ua.,-1
negative, spends 20 minutes beating up a lady about her bag fees.  random stranger comes up and pays the fee.  ,-1
neutral, for a fee...,0
negative, hi.i am still waiting for the refund. this is ridiculous.or u approve my tickets or u give me a refund.please advise wht is going on,-1
neutral," hi, booked a flight yesterday and received an email w/ confirmation number but today i got this error ""no active flight segments""",0
neutral, any updates with the dot looking at the united fares from london to the us from last week?,0
negative, thanks ^mr i got rebooked already but i lost my first class seat. such is life.,-1
negative," booked a flight yesterday, appeared in my account + confirm email but since a few hours all disappeared and err ""no segment in this""",-1
negative," no- we are boarding- but why can't your agents, on the phone, taking care of 1k travellers, link reservations?!?!!",-1
negative," ewr ppl told me to call 1800#, have 2x/day since monday. still at layover loc. have that ref # tho. any help appreciated.",-1
negative, ruth was very helpful in re-routing us to punta cana when dulles connection failed. other reps- not so helpful.,-1
positive, thank you!! 😊,1
negative, we booked at the same time and he called was told confirmed we were linked. even after he had to make changes to his rez.,-1
negative, you board a 630a flight and then cancelled flight it because it doesn't have a pilot?  now i miss my meeting atlanta because someone slept in?,-1
neutral," i don't have a milage number. i can't sent my mail to you via dm, you're not following me. i follow you now, so you can sent me a dm",0
negative, no response 3 weeks since complaint submitted and 3 days since you all said you would look into it,-1
negative, thx. come hell or high water...,-1
negative," worried the cold weather or snow would delay us this morning, but no it was the pilots. ",-1
negative, rushed through the -6 degree weather to get to the airport on time. too bad the pilots didn't do the same. .,-1
neutral, refund?,0
neutral, aisle please,0
positive, thanks for the quick reply! i just fill in the form  ,1
negative," - handed a slip of paper,&amp;said to call 1800#. have called 2x/day trying to get it sent, still @ layover airport.have that ref # tho.",-1
neutral,  good.  maybe that will make up for losing my medallion.  ,0
positive, that's fine. i'll take them.,1
neutral, i live abroad and am flight booking problems flights for when i come visit the states :(,0
neutral, i have.,0
negative," to recap, you bounced me off my flight, lied to me, then hung up on me. what am i supposed to think/do now?",-1
positive, thank you! my second flight i already got bumped up to 1st! love it!,1
negative, ...she said she would need to get a supervisor. while waiting for the supervisor she hung up on me.,-1
negative, ...just called and lady at your overseas call center said she saw no note. i explained the situation...again...,-1
negative, ...she could not access seat map so she said she would note the upgrade in my itinerary and to call back late flightr...,-1
negative, spoke to someone on your feedback line last night who said she would get me a preferred choice seat for today...,-1
positive," all goods, i'll call tomorrow, thanks.",1
neutral, next day,0
neutral, i filled out the form but i haven’t received any sort of email confirmation that it’s been received. is that normal?,0
negative, loses my luggage and  loses my reservation. after a 10 hour travel day. i just want to get to  in the am!,-1
negative, oh flight was fine. my lost luggage? not so much. looks like i'll be at least a half day late flight to my conference in santa monica...,-1
negative, 8h flight without a working screen for me and my friend and not possible to move to another place ,-1
neutral,   n26902 dreamliner leaves london heathrow.  ,0
negative, ^gj flight 1101 didn't have wifi even though it was promised to by your ground crew. ,-1
negative, ^gj i will. you have to agree that 7+ hours late flight for arrival is unacceptable. i only hope and pray my bag is here.,-1
negative," : unhappy with united's service?

read ralph nader's open letter to ual's ceo.

leave a comment or rt.

",-1
neutral, ok. can i dm you the info?,0
negative, the best seats should be for paying customers and we should get to board first ,-1
negative, this happens all the time.  united pilots are always in the exit row.  america treats there customers better than their employees.,-1
negative, yes when i got to the gate i specifically asked if there where any other seats.  very discouraging to walk past the crew. 37d,-1
neutral," koa-lax should have fresh food service, right?",0
positive, omg thank u😻😻😻,1
negative, unavailable leg that registered hours after being sold out. only option to offer after 45min was +$400/ticket or travelocity (2of2),-1
negative, error message said couldn't process request at the last step after seat selection on each leg. agent was unaware of an (1 of 2),-1
negative,"  4348 soon going to have more wait time for a gate, in empty msp airport than it was in flight  50 min and still counting...",-1
negative, ... horrible wait time on 4348 to get a gate  ..shows total miss  management . value customer time and respect thier sentiment,-1
negative,"  very disappointed by the service starting from gate operator at bos , who was  rude in stopping a carry-on bag...",-1
negative, your service sucks to mexico from houston. you finally realized that snacks in1st don't work you cheap as);:,-1
neutral, will do. thank you!,0
neutral," okay, thank you both.",0
neutral," they had snacks available, just no fresh food...not sure what happened, but i'm sure we will grab a bite before our sfo connection",0
negative," if guy on flight 1230 follows through on threat to sue because he couldn’t carry on 3 bags, i will defend you for free.",-1
neutral, done as requested.,0
negative, pls post video of belligerent jerk ranting at sfo (1230) that's he's going to sue you for making him check his 3rd bag. he's a hoot!,-1
negative, ^gj i do believe that this is hands down the worst service i've ever experienced. makes  look amazing. ,-1
positive, please give special thanks to aaron in tampa office for helping me for literally two hours! he's amazing. mission accomplished!,1
negative, i can't tell/purchase through the website because they put us on a lufthansa flight for the first leg.,-1
neutral, turkish airlines rebooked us a united flight on our second leg from fra -&gt; iad. is there any way to check if upgrades are available?,0
neutral, hey i left my favorite blanket on the plane bring it back home to me:-(,0
negative," ^gj funny, i did and the attendant recommended me tweeting you letting you know about my subpar customer service. ",-1
neutral, followed &amp; dm'd.,0
neutral, i want a hotel room and a whiskey.,0
neutral, flight...gotta make this connector,0
neutral, - ok noted. all details will be dm'ed to you shortly.,0
negative,  the b gates are very far though,-1
negative," ua5029 from ric, ua507 from ord, &amp; ua423 from den -all delayed for non-weather issues. way to go, youre batting 1.000! but no hotels",-1
negative, i would have made it if you hadn't already booked me on another flight and cancelled flighted my original reservation.,-1
negative,  how can i book reward travel in august?? everything is blacked out.,-1
positive, did i win :),1
negative, trying to change a flight booked just 6 hours ago but online system is charging me $200 fee per passenger... could you please help?,-1
negative, i have submitted my complaint. i need to be compensated. how long will this take?,-1
neutral, any info on delays at sfo tomorrow due to low clouds?,0
negative," because of the horrific flight experience, you guys have made me never want to fly on an airplane every again!!!!!!!",-1
positive, flight to rsw tonight -me &amp;  twin 3 year olds. a pilot who was in row by me stayed to help me get the boys &amp; bags off. lifesaver!!,1
negative, my flying united is over...sorry. the captain still had 20 minutes of pre-flight preparations to make while we sat with no air!,-1
neutral, thanks,0
positive," yes, thx! at 10:35 (landed at 9:20).",1
negative, get a clue. i am a 1k/2mm miler and that is the response you give?,-1
negative, i was only trying to get my emails. what are you talking about? what most business people expect from airline wifi,-1
neutral," we finally just arrive to bogota, good but long flight!!",0
negative, it's not there we tried. it's already here in cancun just no one has delivered it,-1
negative," what you did was illegal and a breach of contract. i will be in touch but not through your ""customer feedback""",-1
negative, its not the way to treat your customers we had a lot of issues and it was not worth our headache we went thru,-1
negative, yes we are in ewr and it was corrected but just the fact the it was beought up for us to share rooms is unexpactable,-1
neutral, want to make my day? :) friend is premier &amp; i should be soon. any chance you can upgrade our two 10 hr leg of flights to ecom plus?,0
negative, please review and fix your baggage procedures at dulles because it happens every week when my sister travels there on your airline,-1
negative, nothing else from you ^gj? where is your customer service?,-1
neutral, that's of course in lax,0
neutral, ok thanks! where are you counters located? and how late flight are they open?,0
negative," oh no, i'm rebooked, 7+ hours after my original arrival time. we can talk compensation.",-1
negative, my coworker that had the same conflict as me with the hotel issue trying to share posted on their facebook page and they erased it!!,-1
negative," lost my parents luggage to cancun, said it would be delivered to hotel by 7pm, it is now almost 11pm",-1
negative, then watched my connecting flight in den pull away from the gate only to pull into the same gate. ,-1
negative,"  ...and on some versions of the 738, row 11 has no window at all. go ahead, check. we'll wait.",-1
negative, i'm pretty sure i've got shin splits from sprinting through iah only to watch my plane pull away from the jet way...,-1
negative, well the income flight to dca to take us to ewr was delayed and it made us miss our connection to fll so yes hotels were necessary,-1
negative, can you please stop cancelled flightling your flights? i am trying to get home to take two exams tomorrow. you've cancelled flightled 3 flights on me.,-1
negative, &amp; i've been hung up on twice by your staff. so upset right now,-1
neutral, dca-ewr flight ,0
negative," 2 hour flight from fll to ewr, 1242, now waiting 1 hour plus for bags, no sign yet. what gives????",-1
negative, was such a better airline when you were continental. $75 service fee + $75 flight booking problems fee + $25 talk to a human fee: fu!!!,-1
neutral, any chance you could look into my problem from earlier?,0
negative, this is despicable i spoke to  many diff people &amp; everyone is telling me something different i have a claim no. i need my bag now,-1
negative, how come the crew traveling on the flight gets a better seat and i get stuck checking my bag and the crews bag got on the flight.,-1
negative," funny thing happened, we arrived on our flight from denver at the same gate we are currently scheduled to depart for sydney at! lol!",-1
positive, i forgot that intl flights out of lax don't go from intl terminal! easiest re-check in ever! woo!,1
neutral, can you please tell me where united flies to from sydney australia - pref asia pac or us as i have a voucher to redeem.,0
negative," you can't claim ""weather"" with your hardworking crew pulling seats out of a plane! do the right thing. but we both know you won't",-1
negative," you're missin the point! there was no ""weather"". you're lying! seats was broken. but u claim ""weather"" to get out of hotels. classy",-1
negative, are you trying to break a world record for most delayed flights in a year?,-1
neutral, i have flights that don't appear to have been applied to my mileageplus account. can you help?,0
neutral,"  i'm just an aussie cowgirl lookin' for my cowboy. take me to fort worth, estelle says i'll find him there!",0
positive," okay, thank you for your help :)",1
negative, this is not what captain said! your 820pm flight to san francisco is delayed due to weather. ua1416 now departs ....,-1
positive, thanks,1
negative, i bet  doesn't turn a thirty minute delay on an original flight into a 7+ hour delayed arrive time,-1
positive," is the best way to re-unite me with my one true love, shopping in usa's fashion capital   ",1
neutral, should find a way to distinguish boarding of premier members and credit card holders. group 2 is too big!,0
negative, final destination was booked through united but with quantas. united has not yet contacted auckland. i am unaware of case id number,-1
neutral, was in the air. just dmd you,0
negative,. worst flying experiences ever the past three days. your airline needs to get it together. lost a customer with me,-1
negative, yes i have,-1
negative,   long time flyer switching airlines ,-1
positive," okay - thanks for your help, jt! i appreciate your time!",1
negative, screwed over my professor. maybe we should tell everyone about  ?      ,-1
negative,  now do the right thing and reinstate the tickets you voided ,-1
negative, negative. done wasting time with amateurs at customer service. thanks for at least offering.,-1
positive,"  was there few weeks ago awesome,bright vibrant, and no habitrails",1
positive," no worries - after everyone boarded, the cushions were brought in. took a while, but they made it here.",1
neutral, sprinted from c concourse to e and just made it. coughed up a lung in the process but am now in clt! tnx!,0
neutral, hey! think someone could meet me with my book when i arrive at  at 10:30? it's yes please . oscar took it.,0
neutral," hopefully they will give me a feedback, bafore my flight...",0
positive," very good flight, thank you!",1
negative, can you dm me? been on hold with customer service very long time (53 min +) and getting the run-around. thanks.,-1
negative, i'm asking if you can simplify the communications- thx,-1
positive," yes  lounge is fantastic, if only the us ones could be remotely similar!",1
negative, omg where is my bag??? yyzua70435 - enough with the shenanigans already. it's getting real old real quick!!,-1
neutral, i now see it's 72 hours. thanks,0
neutral, we invite to fallow  learn about our activities.prevention programs of health by condom-rito family.we r 501(c)(3)thanks,0
neutral,"  very nice at lhr, congrats, but i'm sticking with aa/.  ",0
negative, how long will it take for miles that i re-purchased (they had expired) to show up? i recieved an email that the request had been..,-1
negative, please stall flight 1535 out of ord. i have to get to sna tonight.,-1
positive," thanks, i will!",1
negative, can you get a gate for ua4727?  turrible.,-1
negative, is the worst airline. lost my luggage delayed my flights and has been very unaccomidating,-1
neutral, flight 280,0
neutral, flight 1640 (n33289) arrives at  following flight from  ,0
positive, is officially my favorite airline. they have created magic for me all day!!!  ,1
positive," we had a wonderful flight attendant named leah that was with us from lga to den, then den to anchorage!",1
positive, i was protected on that flight by gate agent kerry at las. she also did an excellent job getting me to my destination today. thanks!,1
neutral," yes, you can. i will dm.",0
positive," your staff, both on deck and in the cabin on ua768 sfo -&gt; bos were exceptional today. please tell them well done :)",1
negative, i mean is there a real live person somewhere i can go and speak to at newark post security?,-1
neutral, hi! i just bought a flight with united through ebokeers from paris to miami. do i have any chance to check that everything is ok?,0
neutral," no worries, i think it’s under control. (the emails are keeping me informed)",0
negative, i have talked to them...on standby for tomorrow but it doesn't look good. may have to stay here till friday &amp; that's not guaranteed,-1
neutral, ^jt is the ord to phl flight at 9:15 pm (cdt) delayed? dm i'm kinda hoping not to be stranded at ord either.,0
neutral, what happened to flight status map? it was so cool..,0
negative, plz don't advertise wifi if it's not gonna work thanks ,-1
neutral, hi guys. i submitted a request for ticket/hotel reimbursement for a delayed/over night stay coming back from the dominican. help?,0
negative," apologize to the president. once those employees blamed him, i heard it repeated 20 times.",-1
neutral," yes, i want to complain. your coworker was neither. is there a customer service point airside?",0
negative, a change fee of $200. same exact flight from atl-hou is $165. why a charge of $574? the math doesn't add up.,-1
negative, hello. i'm overseas &amp; my bag is lost. i can't call customer service but can you help me?,-1
positive," landing in anchorage, then on our way to fairbanks! ",1
negative, i knew i should've flew  lol,-1
negative,", ua1641 ewr-mco 17 feb wifi never connected but allowed me to purchase access twice &amp; charged me. who do i need to file claim with?",-1
positive, thnx,1
positive," 
i will admit, you've been rather good to me over the years.
you've still got me hooked.
(for now!)
peace.",1
positive, it's kinda funny. no worries.,1
negative, my feedback and concerns via your site aren’t going to improve my poor airport experiences.,-1
negative, just dropped bags at newark. your desk guy was the rudest customer facing person i have met. even my two children were shocked!,-1
positive, great. looking forward to your response to my dm then,1
negative," it was quite enjoyable. 😊 

except now he's stuck on the runway in houston. 😕",-1
positive, thank you for getting our daughter home when  cancelled flightled all their flights to nashville,1
positive," thanks for the re-upgrade to 1st class. it may be a 45 min flight, but it is appreciated.",1
negative," makes total sense, except flight wasn't full :) i've got empty seats around me &amp; overheads were more than half open when i boarded.",-1
neutral,"“:  sorry to hear about your flight. do you need help reflight booking problems?”

👎",0
negative, now we are trying to get to san juan from chicago o'hare. having lots of problems. may get a standby flight.,-1
neutral," alright, thank you. is there a page that says the routes you have for each aircraft? specifically the 787.",0
negative," well sorta....we r trying to get to aquadilla, pr but only 1 flight goes there a day. all are booked. ua cancelled flighted our flight to nj",-1
negative, why does it cost $547 to change the city of origin when the same flight on  costs $165 ,-1
neutral, i just sent a long note with some suggestions. thanks for getting back to me.,0
neutral, there are at least 3 of us on ua1564 at ord waiting to deplane to catch ua4232 to clt. any chance of waiting to last second for us?,0
positive,  done thnx,1
negative,", i'm still frustrated i gave up my seat &amp; the promised travel certificate was withheld w/o explanation. ",-1
negative," gotta love giving up 1st class upgrade b/c flight delayed, to get another flight (also delayed) just to ensure i make my connection.",-1
neutral, pty to pit via iah,0
negative," not sure what happened @ msp yesterday, but very unhappy my bag was not only delayed, but sat at msp for 8 hrs b4 delivery @ 2:30 am",-1
neutral, is it possible to redeem miles for one part of a round trip itinerary without having to book two separate reservations?,0
negative, i'm flying  on the way back. i rarely fly them but let's see if they are any better....,-1
neutral, sent,0
negative, it's almost like we're punished for living near a large metro area. ewr was top ranked for domestic delays. not good,-1
positive," honestly, i stopped trying to report things via website. now i just laugh. flights work. miles accrue. i'm sure it's just cosmetic.",1
negative," thanks. weather is understandable, but when every single domestic flight is delayed because of inbound int'l flights, it's crazy",-1
positive,"  houston-bogota boarding again, safety first, it seems the mechanics fixed the problem faster, good energy to fly home/family",1
negative, no tag number. luggage was taken off the weigh scale and appears to have been sent off on conveyor belt without any tag...,-1
positive, have reported it.  still in istanbul at the moment apparently.  on the other plane haha.  hats off to the pilot!,1
neutral,", understandable. i did try flight booking problems several times for 2 passengers &amp; got the messages i mentioned before. as for the agents price???",0
positive," hey awesome!  thanks for the reply, will be filling the form out! ",1
negative, flying tomorrow from mexico to us. mileage tkts dont show 1k status. help,-1
negative, correct date is 2/11/15!,-1
negative, 3 phone reps. none could see i was rebooked so missed that flight.told to go standby for a nonexistent late flightr flight. did i hurt you?,-1
negative, a report was filed with the airport police on 11th and 12th february-i have the police case number if required,-1
negative," can't dm, you're not following. lly144. rebooked on  but still need seats.",-1
negative, the supervisor on situation- stacey took all our details-no claim number given to us,-1
negative, 1 hour since boarding began and we're still sitting at the gate.  ,-1
negative, tks for reply. psp employees blamed late flight departure on potus when main reasons were dvr flt late flight &amp; insufficient ground crew to handle,-1
negative, took this one just for you. not a window. also not fun if you get motion sick. ,-1
positive," they are all -pilots, fa and ground personnel doing a great job. weather is to blame... who do i talk to about that :)",1
negative," i find this text funny, considering we are still sitting here because 2 seats need to be changed out. ",-1
negative,"  houston-bogota with an engine problem, mechanics trying to ""fix"" the problem, safety first, better to change the plane",-1
negative, thanks! makes sense. just annoying that it can't be determined better.,-1
neutral, patiently drinking and tweeting about my experience,0
negative, you have yourselves to blame for giving me the time to get drunk and tell you how i feel about your overpriced sub par airline,-1
negative, idea: if u don't want us to be frustrated don't cancelled flight flights because your crew overflowed a toilet. get a plumber,-1
negative, i will be patient in my luxurious middle seat on my next delayed flight,-1
negative, i will be patient as your agent explains how you have me booked on a new flight for 6:18 when that plane doesn't arrive until 6:07,-1
negative, please help trace my luggage which was put through without a name tag on 11 february 2014 at albuquerque airport,-1
negative, be patient while i let this string of tweets go out showing people you are bad at your business,-1
negative, i think you guys had a half full flight at 4 so you held our overbooked 3pm flight to fill the other one then cancelled flightled mine,-1
neutral,"'s in-flight promo on their tv's includes brian williams. tough to edit that quickly. not a complaint, just an observation.",0
negative, thanks i'll fill out the form that no one reads or responds to.,-1
negative, i was patient when they refused to switch my flight bc of my checked bag then cancelled flightled the one i was on,-1
negative,"   sent dm last week, re: suit regarding your error. no response was given. please answer dm or tell me who to send suit to....",-1
positive, will have to try standby in denver tonight or will have to cancelled flight father son trip till next year. thx for trying.,1
negative, i wrote to you but got nothing.and i am out of us .it is very simple thing.will ypu provide compensation for your delay?,-1
neutral, how many 787s do you currently operate and what other aircraft do you operate?,0
negative,"“:  we don't want our customers to be frustrated. thank you for your patience. ^jt” a lovely sentiment, but not a $180 one.",-1
negative, 4 different departure / arrival updates for ua304??? in 1hr. please!,-1
negative, nope. really. no window at all for 10a. 10f has one. 8 and 11 has one. none for 10a. so sad...,-1
negative,"  meals can be more creative than noodles, peas, and zukes. non-vegan yogurt is not acceptable for a vegan. can you do better?",-1
positive," well, thanks for not charging me for switching my two cancelled flightled flights anyway. that was pretty nice. ",1
positive, well it is john hughes' birthday. but i will stick w the plane &amp; hold off on trains &amp; automobiles. gate workers are doing well.,1
negative, - my son left his tablet on plane.  am out of country and can not call easily.  is there an email to contact?,-1
negative,"i will, if you can show me where this new program is beneficial to your longstanding loyal consumers... ",-1
negative, all i hear is blah blah blah ....you shoulda used that $400 to buy a  ticket instead. &amp; ill be driving there not flying,-1
negative," yes, supposed to be here by 6pm. i have a board meeting tomorrow. fingers crossed.",-1
negative, thanks for not letting me switch flights bc i had a checked bag then cancelled flighting my flight forcing me to take another 3 hrs late flightr!,-1
positive, thank you! love united!! have 4 flights today!,1
positive," just did, thanks for checking! :)",1
negative, just informed you don't reimburse for issues due to weather. this is why your flights keep getting cancelled flightled--thor hates you,-1
negative," midland couldn't get our bags to connect on our intl flight to sydney, so have to get em in la &amp; check em in there.",-1
negative, this may be the last time i fly your airline.,-1
negative," is your company motto: ""i do not care!!!""  i heard several times from your employees to your clients in the past week.""  ",-1
negative, you should tell that to the staff at lax then. i boarded group 5 at the very end of the queue as a gold member. thanks for nothing.,-1
negative," missing crew, passenger doc problems, frozen toilets, and now we're off the plane. give me my money back.  ua3466",-1
positive, fantastic job by your people today on ua22 from dublin. a jam packed plane but the crew was wonderful!!,1
negative," there was 20 min to departure, no one waiting. on being pressed ground staffer threatened ""do you want to get to sf today"" ",-1
negative, flying lax to sfo and system won't let me check in. your site tells me to do it through  and they tell me through you.,-1
negative," and btw, the  and  managed on time departures same time same destination- &amp; wouldn't take away a 9year old kids bag!",-1
positive, can i just go ahead and live in your premium cabins? i'm in heaven now en route to lhr,1
negative," feeling poor on the church-mouse level here, 180 dollars is enough to make a grown man cry. i'm not a grown man but tears happened",-1
negative, sure but the plane is an hour late flight! your ontime departure ship sailed away a long time back!,-1
negative, ua6002 mli-&gt;den. will miss connection ua3530 den-&gt;yeg due to delay.,-1
negative," how come you are the only airline, of 90+ flights last year that makes me check my carry-on. not even gate check...baggage claim?!?",-1
negative, i had to change airports to actually get a flight out when my flight from fay was cancelled flightled twice. $180 taxi ride to rdu--reimburse?,-1
neutral, it's operated by united as it's a heathrow-newark flight,0
negative, yes of course i have.  is this how you treat customer with no recourse?,-1
negative, i will be stunned if my bags are in hartford with me.  the ord ground crew only had an hour to move my bags 200 yards,-1
negative," can someone assist me with my dm's? waiting 1 hour on phone, 2 hours on twitter.",-1
negative," flight was overbooked! was offered voucher to wait &amp; take another flight. gate agent switched me over, retracted voucher offer.",-1
positive, thank you!,1
positive, thanks - it's very helpful to understand that the reduced price seats that are sold at check-in have priority over the certificates.,1
negative, as a million miler i've been delayed plenty. never in the amateurish way does it. i'd be embarrassed to be affiliated.,-1
negative," airlines claims to have a low fare guarantee, but they won't honor a lower fare that i found.",-1
negative, another delayed united flight. i should not be this surprised or upset. i'm mostly disappointed i have to cancelled flight my trip with my dad,-1
negative," still can't dm, it's lh7631 on 21/2/15",-1
positive, thank you margo at houston's bush intercontinental for getting me home earlier.,1
negative,", i booked our flights w/ . i saw the same prices each time i searched. it wasn't the least bit frustrating. ",-1
negative,", thanks, but i didn't want to see 'we've started your flight search over' or 'the fare &amp; rules for this itinerary has changed' again",-1
negative, my cats flight was delayed 1+hour  she will be arriving to hawaii after 5 &amp; i won't be able to pick her up until tomorrow 😭,-1
negative," i did not, my mind was on getting to the next flight.",-1
negative, now you've lost my bags too.  at least nobody has done anything to help out.  this is absurd.,-1
negative, what's up with the reduction in e+ on 737-900s? 1k who can no longer confirm e+.  forget upgrades - just want legroom. ,-1
negative, offered me a voucher to switch flights. now voucher offer doesn’t exist &amp; the gate agent switched me to a delayed flight!,-1
neutral, when southwest did this to us -- a mechanical problem at least they gave us round trip vouchers. will you step up to the plate flight too?,0
negative, i usually like flying with you guys but $200 fee to use my credit seems ridiculous  ,-1
negative," thanks, but not so much the missing bag as the nonexistent staff at this apparent remote outpost (busy airport for city of ~1m).",-1
negative, my friend lost luggage on flight 1547. what to do?,-1
positive," sweet, follow back and i'll get the dm off",1
neutral, my reservation were changed so that i can longer make my connecting flight. how can i change this without incurring a fee?,0
positive, all good! next flight was a little delayed so it all worked 👍,1
neutral, flight 5431,0
negative," just boarded ua1297, was refused from carrying overhead bag as no space, in plane now with loads of space  ",-1
negative, get your act right! you just lost customers because your staff wouldn't let us take our approved carry-on on a half empty flight!,-1
neutral,   raise a dispute with your cc provider and they will hopefully clear it for you.,0
negative, held up for almost 45 minutes and then promised free movies and it didn't work and neither did the wifi that was paid for. boo :(,-1
negative," nice ""partners"" you have. the delays keep increasing every 20 min   ",-1
negative, ua1740 just admit you have no clue when flight will leave denver. ,-1
negative," yep, after long waiting on the phone we managed to rebook it. hope it will be a pleasent one. thanks for ur help.",-1
negative, just had the worst experience ever flying with you,-1
negative, ua1740. as the inbound flight dep time gets closer you push it back 15 min. you've been doing this for 2 hrs.,-1
negative, why is my flight from mke to ord getting delayed? our gate attendant is not communicating!,-1
negative," my plane sounds like  a dj  scratching is this normal? if so, will this eventually be a new entertainment fee.",-1
neutral, chase says no referral bonus. thanks.,0
negative," how can i trust united with future flight booking problemss when a confirmed, ticketed and purchased ticket is cancelled flightled after the fact?",-1
negative, rebooked.  this one is late flight too.,-1
negative, 2nd late flight flight today,-1
negative," if u miss first leg of ur flight, you have to pay hundreds of $'s just to keep your second leg? how much to keep my earned miles?",-1
negative," 3586 from iad to buf.  incredibly loud, and like a third world 70s inner city metro bus.   ",-1
neutral, cancelled flighting. bought a ticket for a friend but cant get the credit under my name,0
positive, boeing 777 star alliance short finals  27l on an amazing winters morning   ,1
negative, 16 days for one flight and 8 for the other (roundtrip).,-1
positive, i am blown away by stellar  !! thank you &lt;3 ,1
negative, your overall experience of flying is not friendly,-1
negative, a good start would be  to warm the plane before the departure time so the flight isn't delayed due to frozen water lines.,-1
negative, annnnddddd i'm going to lose my first class seat on the flight they shuffle me to,-1
positive, you have the nicest gate attendant at newark airport gate 101 right now. multiple delays and she is still pleasant with everyone.,1
negative, 6 hour mechanical delay...killing me,-1
negative, every time i check a bag with your airline i'm confident i will be wearing the same clothes for 3 days.  please prove me wrong.,-1
neutral, trade show! come by both 130 for awesome deals on  and ! $$ ,0
negative,. thanks united for the no running water and late flight flight from grand rapids to denver,-1
negative, kn: not allowing me to bypass the receipt # on the refund request form. never received receipt email. charged ,-1
neutral, please help! left my ipad air 2 on my flight from nyc to paris yesterday and can’t get in touch with anyone locally. what to do?,0
negative, when will that happen? it really confuses when the 1st content to come on the 6in screens is about how technology forward united is.,-1
negative," you mean like my mailing address and rate? by the surliness of my united ""coworkers"" i'm guessing our benefits aren't great.",-1
negative, i already sent feedback and your reps are who told me about the priority. i'm speechless at your system,-1
negative, just because you are a monopoly in  doesn't mean you treat your frequent fliers like crap.,-1
negative," yeah, bag is on the way. as per usual.  i'm actually getting used to getting it delivered to me, its kind of nice in a sense.",-1
neutral, how much is baggage check for international flights?,0
negative, why does it take 4-6 weeks for a new mileageplus premier card to be sent out?  ,-1
negative," wonder why people hate dealing with airlines?  ridiculous and inflexible ""policies"".  i need a phone number and a resolution.  now.",-1
negative, le2v9d pnr numbered flight. the first leg is cancelled flightled due to bad weather in iatanbul. how can i make a reflight booking problems,-1
negative," (2/2) it suggests that if can't confirm cert at time of flight booking problems, i should assume that it may never clear. didn't used to be that way",-1
positive," thanks for explanation. it seems like an odd incentive structure, tho, because it dramatically diminishes the value of the certs.",1
neutral,    @ united terminal sfo airport ,0
negative,"2/2  you don't really care about our comfort, you care about profitability. that's fine, just own up to it. ",-1
negative,1/2  just be honest with your customers. the new seats are designed to fit more rows on the plane. more rows = more money.,-1
negative, missing this wedding because of these delays would not be cool,-1
negative, designed to deter people from forgetting things or to provide more storage space? the article says the latter ,-1
negative," what do you think missing meetings is worth?  a flight voucher?  i fly all the time, so what would make it right?",-1
negative," and . not to pile on, but it's time to update your in flight tv package. ",-1
negative,  why is it so hard to add in meal preferences after i booked tickets? i forgot to do it &amp; it's now impossible! i even called.,-1
positive, it's amazing really.,1
negative, learn to hold connections. they texted me there is another flight late flightr - my connection hasn't left and were pulling into the gate,-1
neutral, if i have credit from a flight i cancelled flightled does the new flt have to be booked by 1 yr from orig purchase date or flown by that date?,0
neutral, this is me and my partners first trip to  i bought the tickets at the same time please seat us next to each other conf# ilc0hp,0
negative," its ridic you cant transfer credit, you have my $400 &amp; youre taking $200 of it for cancelled flightling. atleast let me keep the credit damn",-1
positive," thank you. there was one here a few months ago, but none now. weird you don't have a club in one of the busiest airports in the us.",1
negative, a plane took our gate and now we're just waiting in a lot at dia,-1
negative," i have a flight from omaha to chicago (en route to nyc) and they are seating me and my partner separate, please fix this res# ilc0hp",-1
negative, - with airport self checkin your only option i'm now your employee. training was a bitch. send my paycheck asap.,-1
negative, on your website it says 10 days. its been 16 and counting.,-1
neutral, one last thing....united club crackers...nabisco?? where are the pepperidge farms?,0
negative, the lack of customer service is astounding  ,-1
neutral," ha, this happened 10 years ago. i haven't flown with you since.",0
negative, my bag is a few days late flight to me and this is like the 3rd time in the past couple months.  where my free miles at?!,-1
negative, of course but they were just as helpless as everyone else .,-1
positive," flew ord to miami and back and  had great crew, service on both legs. thanks",1
negative, 65 and 72 year old flying to tokyo for vacation both with bad knees and this happens   ,-1
negative, another week has passed and i hoped that i would have had a response by now,-1
negative, there's no reason it should take 7-10 days to respond.,-1
negative," yes, i know that. the question is ""why is that still the case""? ",-1
negative, there are exit-row window shades in approx 11% of the windows  of your rj-145s. &lt;--a frequent flyer ,-1
positive, no worries your customer service gets a bad wrap but just spoke w agent who saved me huge amounts of time &amp; apologized for yesterday,1
